time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-14T18:50:41.793Z,29.07531738,-97.86465993,5.428955078000001,4,ml,27,50,0.0968863031,0.3,tx,tx2023sbec,2023-10-25T13:49:15.069Z,"18 km NE of Falls City, Texas",earthquake,1.486079629,2.0866699,0,6,reviewed,tx,tx
2023-09-15T11:58:32.872Z,29.03045654,-97.9029182,8.339070638,3,ml,16,66,0.04820144029,0.3,tx,tx2023sclz,2023-09-23T06:06:24.040Z,"12 km ENE of Falls City, Texas",earthquake,1.718567809,2.683085573,0.2,10,reviewed,tx,tx
2023-09-15T13:43:47.757Z,38.1724,-117.8582,9.3,2.5,ml,12,62.37,0.103,0.119,nn,nn00865851,2023-09-16T04:47:00.040Z,"32 km SE of Mina, Nevada",earthquake,,1.2,0.37,7,reviewed,nn,nn
2023-09-15T18:02:26.810Z,40.231,-121.1586667,0.03,2.71,md,62,32,0.2421,0.19,nc,nc73937126,2023-10-11T22:34:26.040Z,"2 km NE of Almanor, CA",earthquake,0.21,1.57,0.164,83,reviewed,nc,nc
2023-09-15T21:41:15.050Z,40.9978333,-121.5371667,13.67,2.82,md,52,31,0.09306,0.15,nc,nc73937206,2023-09-18T20:49:47.040Z,"8 km W of Fall River Mills, CA",earthquake,0.19,0.57,0.111,63,reviewed,nc,nc
2023-09-15T22:24:16.979Z,38.1509,-118.1633,11.4,3.2,ml,12,42.98,0.148,0.1123,nn,nn00865877,2023-09-15T23:07:42.107Z,"27 km S of Mina, Nevada",earthquake,,1.7,0.16,7,reviewed,nn,nn
2023-09-16T06:42:19.210Z,36.673,-89.5321666666667,11.62,2.75,md,64,36,0.0549,0.12,nm,nm60551786,2023-09-27T10:55:51.040Z,"9 km N of New Madrid, Missouri",earthquake,0.16,0.26,0.0827853703164498,55,reviewed,nm,nm
2023-09-16T13:11:14.050Z,40.7228333,-124.607,21.19,2.63,md,73,225,0.2995,0.19,nc,nc73937486,2023-10-20T20:01:44.040Z,"33 km WNW of Ferndale, CA",earthquake,0.58,0.48,0.266,64,reviewed,nc,nc
2023-09-16T16:49:57.560Z,34.0333333,-116.7355,11.98,2.64,ml,101,21,0.06005,0.16,ci,ci39667082,2023-09-30T19:17:13.040Z,"14 km NNE of Cabazon, CA",earthquake,0.1,0.3,0.189,130,reviewed,ci,ci
2023-09-16T21:48:50.090Z,33.9888333,-118.346,11.58,2.56,ml,106,37,0.01316,0.23,ci,ci39667186,2023-10-09T22:32:31.204Z,"1 km SSE of View Park-Windsor Hills, CA",earthquake,0.15,0.24,0.186,114,reviewed,ci,ci
2023-09-17T07:08:54.480Z,47.60316666666667,-121.76083333333334,15.79,2.5,ml,66,105,0.1022,0.38,uw,uw61960406,2023-10-13T05:23:15.590Z,"9 km NNE of Snoqualmie, Washington",earthquake,0.37,0.69,0.13993637947726945,49,reviewed,uw,uw
2023-09-17T07:43:08.855Z,48.108,-115.1836,14.722,2.6,ml,52,67,0.358,0.3,us,us7000kwae,2023-10-13T05:30:37.653Z,"",earthquake,1.95,6.699,0.048,58,reviewed,us,us
2023-09-17T20:20:29.317Z,35.4387,-113.2249,5,2.8,ml,21,47,0.569,0.72,us,us7000kwcr,2023-09-26T15:08:52.487Z,"20 km ESE of Peach Springs, Arizona",earthquake,1.45,1.933,0.042,76,reviewed,us,us
2023-09-18T04:17:37.720Z,39.2225,-120.0956667,3.53,3.22,ml,32,52,0.08394,0.12,nc,nc73938166,2023-10-19T01:41:09.040Z,"4 km N of Dollar Point, CA",earthquake,0.2,0.62,0.197,69,reviewed,nc,nc
2023-09-18T06:20:52.980Z,38.8108333,-122.793,1.47,3.22,ml,113,31,0.00338,0.1,nc,nc73938186,2023-10-19T09:03:31.040Z,"5 km NW of The Geysers, CA",earthquake,0.09,0.14,0.199,107,reviewed,nc,nc
2023-09-18T08:04:48.250Z,39.222,-120.0956667,1.96,2.51,md,18,55,0.08436,0.11,nc,nc73938276,2023-09-21T06:59:46.040Z,"4 km N of Dollar Point, CA",earthquake,0.27,1.25,0.248,37,reviewed,nc,nc
2023-09-18T14:34:40.980Z,40.1778,-98.3284,9.962,3.4,mb_lg,24,52,1.237,0.52,us,us7000kwge,2023-09-26T19:01:11.294Z,"10 km E of Cowles, Nebraska",earthquake,2.07,7.527,0.041,153,reviewed,us,us
2023-09-18T23:25:34.400Z,36.1928333,-120.7761667,8.15,2.96,md,68,76,0.03069,0.18,nc,nc73938606,2023-10-16T22:19:29.040Z,"22 km NNE of San Ardo, CA",earthquake,0.29,0.45,0.103,83,reviewed,nc,nc
2023-09-19T00:15:32.580Z,37.4418333,-121.2848333,0.05,3.97,mw,167,93,0.05643,0.17,nc,nc73938626,2023-10-18T16:58:41.217Z,"14 km SSW of Westley, CA",earthquake,0.15,0.21,,3,reviewed,nc,nc
2023-09-19T03:44:30.550Z,37.4358333,-121.3031667,-0.4,3.49,mw,149,90,0.05285,0.19,nc,nc73938706,2023-10-27T00:37:01.024Z,"15 km SW of Westley, CA",earthquake,0.18,0.24,,3,reviewed,nc,nc
2023-09-19T04:13:10.380Z,37.4381667,-121.2958333,3.51,4.53,mw,174,91,0.05369,0.18,nc,nc73938736,2023-10-27T01:23:03.484Z,"15 km SW of Westley, CA",earthquake,0.17,0.5,,5,reviewed,nc,nc
2023-09-19T04:40:58.670Z,37.423,-121.3023333,2.13,2.97,ml,122,98,0.04056,0.21,nc,nc73938781,2023-10-27T01:35:17.040Z,"16 km WSW of Patterson, CA",earthquake,0.22,0.51,0.209,92,reviewed,nc,nc
2023-09-19T04:50:24.410Z,34.0225,-116.9581667,6.84,2.6,ml,108,21,0.07325,0.16,ci,ci39668586,2023-10-19T02:57:59.040Z,"8 km E of Yucaipa, CA",earthquake,0.09,0.45,0.132,131,reviewed,ci,ci
2023-09-19T05:25:21.350Z,37.422,-121.3036667,3.68,3.06,ml,131,137,0.04005,0.2,nc,nc73938826,2023-10-27T04:59:20.040Z,"16 km WSW of Patterson, CA",earthquake,0.18,0.44,0.194,96,reviewed,nc,nc
