release_year,genre,region,sales
2000,Puzzle,European Union,0.93
2000,Racing,European Union,6.5
2000,Role-Playing,European Union,4.21
2000,Shooter,European Union,2.17
2000,Simulation,European Union,0.77
2000,Sports,European Union,9.77
2000,Strategy,European Union,1.03
2001,Action,European Union,19.25
2001,Adventure,European Union,3.67
2001,Fighting,European Union,5.0
2001,Misc,European Union,4.25
2001,Platform,European Union,11.62
2001,Puzzle,European Union,1.84
2001,Racing,European Union,17.89
2001,Role-Playing,European Union,4.14
2001,Shooter,European Union,7.5
2001,Simulation,European Union,4.35
2001,Sports,European Union,14.14
2001,Strategy,European Union,1.24
2002,Action,European Union,27.01
2002,Adventure,European Union,2.5100000000000002
2002,Fighting,European Union,6.21
2002,Misc,European Union,3.56
2002,Platform,European Union,12.3
2002,Puzzle,European Union,1.41
2002,Racing,European Union,8.89
2002,Role-Playing,European Union,9.39
2002,Shooter,European Union,14.98
2002,Simulation,European Union,3.5300000000000002
2002,Sports,European Union,19.24
2002,Strategy,European Union,0.72
2003,Action,European Union,20.88
2003,Adventure,European Union,0.5700000000000001
2003,Fighting,European Union,5.78
2003,Misc,European Union,7.46
2003,Platform,European Union,12.5
2003,Puzzle,European Union,0.28
2003,Racing,European Union,17.23
2003,Role-Playing,European Union,5.7
2003,Shooter,European Union,8.54
2003,Simulation,European Union,6.47
2003,Sports,European Union,15.96
2003,Strategy,European Union,2.44
2004,Action,European Union,16.02
2004,Adventure,European Union,2.13
2004,Fighting,European Union,4.12
2004,Misc,European Union,9.44
2004,Platform,European Union,12.01
2004,Puzzle,European Union,1.48
2004,Racing,European Union,12.459999999999999
2004,Role-Playing,European Union,16.73
2004,Shooter,European Union,12.76
2004,Simulation,European Union,3.56
2004,Sports,European Union,14.86
2004,Strategy,European Union,1.71
2005,Action,European Union,21.88
2005,Adventure,European Union,2.03
2005,Fighting,European Union,4.46
2005,Misc,European Union,20.21
2005,Platform,European Union,5.3100000000000005
2005,Puzzle,European Union,6.04
2005,Racing,European Union,15.66
2005,Role-Playing,European Union,4.9
2005,Shooter,European Union,9.18
2005,Simulation,European Union,16.28
2005,Sports,European Union,14.059999999999999
2005,Strategy,European Union,1.1
2006,Action,European Union,15.03
2006,Adventure,European Union,2.58
2006,Fighting,European Union,4.48
2006,Misc,European Union,19.26
2006,Platform,European Union,11.8
2006,Puzzle,European Union,2.08
2006,Racing,European Union,8.76
2006,Role-Playing,European Union,7.95
2006,Shooter,European Union,8.73
2006,Simulation,European Union,6.12
2006,Sports,European Union,40.06
